City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,anadyr,64.75,177.4833,269.82,79,75,12.0,RU,1713922857
146,tughyl,47.7252,84.2063,281.02,53,13,6.45,KZ,1713923004
147,deogarh,21.5333,84.7333,306.47,32,36,1.31,IN,1713923004
148,coxen hole,16.3244,-86.5366,299.75,83,20,2.57,HN,1713922884
149,rockwood,35.8656,-84.6849,292.06,47,0,2.57,US,1713922798
150,tutoia,-2.7619,-42.2744,298.99,89,59,3.02,BR,1713923005
151,qaqortoq,60.7167,-46.0333,273.32,99,100,1.62,GL,1713922940
152,griffith,41.5284,-87.4237,287.11,86,40,8.75,US,1713923007
153,shantobe,52.4581,68.1839,279.52,69,100,6.82,KZ,1713923007
154,nova xavantina,-14.6667,-52.35,296.47,81,5,0.87,BR,1713923007
155,polyarnyy,69.1989,33.4478,273.46,96,88,5.46,RU,1713922949
156,antofagasta,-23.65,-70.4,290.75,84,80,2.66,CL,1713923008
157,haimen,23.1935,116.6142,299.09,81,73,0.75,CN,1713923008
158,udachny,66.4167,112.4,268.4,95,94,8.83,RU,1713923008
159,mozarlandia,-14.7447,-50.5706,298.07,71,0,1.87,BR,1713923008
160,port alfred,-33.5906,26.891,293.36,89,98,3.72,ZA,1713923008
161,al bawiti,28.3492,28.8659,299.61,10,11,2.88,EG,1713923008
162,tiksi,71.6872,128.8694,262.61,82,98,3.31,RU,1713923008
163,hami,42.8,93.45,294.29,18,59,0.84,CN,1713923008
164,kumeny,58.1089,49.9161,284.02,95,100,5.77,RU,1713922810
165,kapa'a,22.0752,-159.319,302.14,77,75,8.75,US,1713922935
166,punta arenas,-53.15,-70.9167,281.21,71,75,10.8,CL,1713922993
167,talnakh,69.4865,88.3972,262.15,79,39,0.09,RU,1713922595
168,avarua,-21.2078,-159.775,300.18,61,75,4.63,CK,1713922826
169,tual,-5.6667,132.75,302.16,74,11,2.49,ID,1713923009
170,golpazari,40.2847,30.3172,291.57,32,52,4.8,TR,1713923009
171,kirovskiy,45.0917,133.5136,285.74,54,100,3.93,RU,1713923009
172,ancud,-41.8697,-73.8203,282.99,83,100,2.95,CL,1713923009
173,ciro marina,39.3732,17.126,285.02,50,1,1.79,IT,1713923009
174,walvis bay,-22.9575,14.5053,286.68,94,2,2.06,NA,1713923010
175,cill airne,52.05,-9.5167,281.69,95,98,1.32,IE,1713923010
176,alaghsas,17.0187,8.0168,302.54,13,0,1.58,NE,1713923010
177,quellon,-43.1167,-73.6167,282.18,93,100,5.26,CL,1713922996
178,georgetown,5.4112,100.3354,303.12,74,20,1.03,MY,1713923010
179,kerikeri,-35.2268,173.9474,293.08,52,0,2.93,NZ,1713922989
180,timimoun,29.2639,0.231,294.36,17,0,3.09,DZ,1713923010
181,oyama,36.3,139.8,290.7,88,100,1.52,JP,1713923010
182,portland,45.5234,-122.6762,298.11,26,20,2.57,US,1713922891
183,sidhi,24.4167,81.8833,303.07,37,0,3.76,IN,1713923010
184,kone,-21.0595,164.8658,301.64,70,86,3.05,NC,1713923010
185,retreat,38.8245,-85.8533,286.47,94,100,1.55,US,1713923011
186,blythe,33.6103,-114.5964,307.4,10,0,7.72,US,1713922972
187,tobruk,32.0836,23.9764,290.36,87,96,10.61,LY,1713923011
188,colares,38.7992,-9.4469,288.57,81,100,9.83,PT,1713922923
189,mount gambier,-37.8333,140.7667,287.59,45,70,4.84,AU,1713923002
190,hadibu,12.65,54.0333,300.44,75,3,1.26,YE,1713923011
191,wafangdian,39.6183,122.0081,288.53,60,6,1.85,CN,1713923011
192,luderitz,-26.6481,15.1594,289.08,81,8,4.47,NA,1713922624
193,kamaishi,39.2667,141.8833,283.03,89,100,2.41,JP,1713923011
194,lebu,-37.6167,-73.65,282.07,76,1,1.73,CL,1713923011
195,fruita,39.1589,-108.729,300.79,9,0,6.69,US,1713923011
196,ibi,38.6253,-0.5723,282.55,56,1,3.02,ES,1713923011
197,tippi,7.2,35.45,293.83,71,58,1.52,ET,1713923013
198,hamilton,39.1834,-84.5333,288.28,83,100,5.66,US,1713922526
199,sao joao da barra,-21.6403,-41.0511,297.47,89,0,3.53,BR,1713922634
200,porto novo,6.4965,2.6036,299.4,76,67,1.98,BJ,1713923017
201,tsiombe,-25.3,45.4833,292.97,96,9,2.18,MG,1713923019
202,beidao,34.5686,105.8933,291.87,41,99,4.87,CN,1713923019
203,salekhard,66.53,66.6019,257.81,96,95,2.24,RU,1713923011
204,puerto penasco,31.3167,-113.5333,300.14,70,0,4.02,MX,1713923021
205,saldanha,-33.0117,17.9442,288.18,95,100,2.75,ZA,1713922949
206,buurhakaba,2.8026,44.0781,299.07,88,91,2.77,SO,1713923021
207,tokar,18.4254,37.729,299.86,67,0,4.98,SD,1713923022
208,pangody,65.85,74.4859,259.39,95,89,4.27,RU,1713923022
209,midvagur,62.0511,-7.1939,276.61,75,5,3.09,FO,1713923024
210,enguera,38.9797,-0.6868,283.23,56,0,2.52,ES,1713923024
211,kuanda,56.3161,116.0806,277.58,58,62,2.02,RU,1713923024
212,yorkton,51.2167,-102.4677,286.06,30,0,6.69,CA,1713922743
213,buka,40.8108,69.1986,294.37,42,60,1.62,UZ,1713923024
214,alofi,-19.0595,-169.9187,302.09,74,100,3.09,NU,1713922633
215,sao mateus do sul,-25.8742,-50.3828,291.77,99,100,1.3,BR,1713923026
216,ciudad bolivar,8.1222,-63.5497,304.16,51,26,6.42,VE,1713923027
217,ola,59.5833,151.2833,273.23,91,100,3.5,RU,1713923027
218,arraial do cabo,-22.9661,-42.0278,297.34,90,0,6.38,BR,1713923027
219,wanganui,-39.9333,175.05,290.42,56,0,5.66,NZ,1713923027
220,aitape,-3.1374,142.3475,303.79,65,78,2.49,PG,1713923028
221,naze,28.3667,129.4833,294.66,91,100,4.06,JP,1713923010
222,hood river,45.7054,-121.5215,293.87,27,0,1.79,US,1713923028
223,nemuro,43.3236,145.575,277.94,85,100,5.07,JP,1713923033
224,abashiri,44.0213,144.2697,285.31,62,20,7.72,JP,1713923033
225,iguape,-24.7081,-47.5553,296.46,82,100,1.85,BR,1713923034
226,la passe,45.5549,-0.8967,284.25,85,38,2.98,FR,1713922755
227,vicam,27.6333,-110.2833,299.45,24,5,3.06,MX,1713923035
228,berdigestyakh,62.0989,126.6992,273.59,100,100,2.88,RU,1713923035
229,campo gallo,-26.5833,-62.85,293.82,94,100,4.14,AR,1713923035
230,jumla,29.2747,82.1838,283.72,47,1,0.72,NP,1713922761
231,midleton,51.9153,-8.1805,280.03,90,2,4.01,IE,1713923036
232,kenora,49.8167,-94.4337,278.69,24,0,2.06,CA,1713923037
233,mohr,54.3528,9.7167,276.56,93,100,3.6,DE,1713923037
234,meadow lakes,61.6247,-149.6011,285.9,41,40,1.54,US,1713922892
235,prince george,53.9166,-122.753,288.29,28,40,2.06,CA,1713923037
236,afaahiti,-17.75,-149.2833,302.08,79,36,5.0,PF,1713922920
237,egilsstadir,65.2653,-14.3948,271.1,100,0,2.06,IS,1713922765
238,port lincoln,-34.7333,135.8667,287.98,57,88,6.8,AU,1713923039
239,karratha,-20.7377,116.8463,301.46,26,95,10.52,AU,1713923039
240,malindi,-3.2175,40.1191,299.06,89,100,5.8,KE,1713923040
241,gisborne,-38.6533,178.0042,289.93,50,0,2.23,NZ,1713923042
242,taltal,-25.4,-70.4833,291.98,79,12,2.4,CL,1713923044
243,le port,-20.9373,55.2919,297.15,80,4,1.04,RE,1713923044
244,mount pearl,47.5166,-52.7813,274.44,76,75,2.06,CA,1713922912
245,petropavlovsk-kamchatsky,53.0452,158.6483,286.48,24,0,4.0,RU,1713922886
246,lompoc,34.6391,-120.4579,290.38,61,0,5.14,US,1713923046
247,lautoka,-17.6167,177.4667,304.07,70,40,5.66,FJ,1713923046
248,xilin hot,43.9667,116.0333,289.95,17,6,7.0,CN,1713923049
249,port elizabeth,-33.918,25.5701,290.31,94,75,0.0,ZA,1713922823
250,fort mcmurray,56.7268,-111.381,288.92,21,40,4.12,CA,1713923051
251,pacific grove,36.6177,-121.9166,289.62,74,0,8.05,US,1713923009
252,alvorada,-12.48,-49.1247,298.41,72,0,0.57,BR,1713923052
253,sinjar,36.3209,41.8754,292.15,37,4,2.18,IQ,1713923052
254,north battleford,52.7834,-108.2847,291.2,17,0,5.14,CA,1713923053
255,tolanaro,-25.0319,46.9987,296.19,88,75,3.09,MG,1713923053
256,lufilufi,-13.8745,-171.5986,305.03,76,52,3.99,WS,1713923053
257,sabzevar,36.2126,57.6819,288.25,65,100,2.54,IR,1713923054
258,natal,-5.795,-35.2094,300.51,89,40,2.57,BR,1713922819
259,charters towers,-20.1,146.2667,300.82,42,0,4.1,AU,1713923055
260,san patricio,28.017,-97.5169,297.5,84,63,5.32,US,1713922902
261,makoua,0.0069,15.6333,296.9,94,100,1.07,CG,1713923057
262,minas de marcona,-15.2119,-75.1103,290.02,87,100,5.38,PE,1713923058
263,embarcacion,-23.209,-64.096,299.94,85,98,1.79,AR,1713923058
264,martapura,-3.4167,114.85,299.2,89,75,4.63,ID,1713923060
265,nueva gerona,21.8833,-82.8,299.6,67,3,4.85,CU,1713923060
266,praia da vitoria,38.7333,-27.0667,289.29,100,75,5.3,PT,1713923061
267,baruun-urt,46.6806,113.2792,282.44,43,49,4.18,MN,1713923061
268,crane,31.3974,-102.3501,297.15,42,4,6.33,US,1713923066
269,axim,4.8699,-2.2405,299.81,88,100,3.86,GH,1713923066
270,newman,37.3138,-121.0208,295.28,60,77,4.02,US,1713922948
271,susuman,62.7833,148.1667,271.59,85,100,1.85,RU,1713923067
272,kodiak,57.79,-152.4072,278.88,100,100,4.63,US,1713923068
273,port saint john's,-31.6229,29.5448,294.96,88,94,3.01,ZA,1713923068
274,dudinka,69.4058,86.1778,262.41,87,71,6.26,RU,1713922901
275,araguaina,-7.1911,-48.2072,296.96,93,61,0.69,BR,1713922870
276,constantia,44.1833,28.65,285.76,89,100,5.97,RO,1713922512
277,alcarras,41.5667,0.5167,278.96,77,0,3.6,ES,1713923068
278,baraki barak,33.9675,68.9486,286.41,45,0,0.49,AF,1713923068
279,am timan,11.0297,20.2827,304.6,29,5,0.58,TD,1713923068
280,muromtsevo,56.3724,75.2418,266.73,51,78,4.03,RU,1713923068
281,oltinko'l,40.8011,72.1634,292.85,49,11,2.93,UZ,1713923068
282,rio verde de mato grosso,-18.9181,-54.8442,295.98,72,6,1.9,BR,1713923068
283,ussuriysk,43.7986,131.9508,280.05,76,100,1.71,RU,1713923069
284,yelizovo,53.1873,158.3805,287.23,24,0,4.0,RU,1713923069
285,moapa valley,36.5805,-114.4703,305.12,14,0,9.02,US,1713922808
286,chimoio,-19.1164,33.4833,287.9,88,0,1.35,MZ,1713923069
287,trairi,-3.2778,-39.2689,297.56,92,98,2.23,BR,1713923065
288,beltran,-27.8291,-64.061,289.37,93,100,5.58,AR,1713923069
